Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Stuffed Zucchini,Cook zucchini to fork tender. Slice lengthwise. Remove center pulp to bowl. Brown hambugrer or sausage with chopped onion. Mix with pulp. Add croutons that have been sof10ed in water boullion cube. Add spices to taste. Stir in 2 eggs. Mixture will be quite soft. Spoon into zucchini shells. Sprinkle with parmesan and melted butter or olive oil.Bake 1/2 hour at 350 degrees until filling is set.,3,6 inch,zucchini, 1/2,pound,hamburger or sausage,nan,nan,"onion, chopped",2,cups,croutons,1,nan,boullion cube,nan,nan,salt,nan,nan,pepper,nan,nan,garlic,nan,nan,thyme,nan,nan,oregano,nan,nan,sage,2,nan,eggs,nan,nan,parmesan cheese,nan,nan,melted butter or margarine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"zucchini;hamburger or sausage;onion, chopped;croutons;boullion cube;salt;pepper;garlic;thyme;oregano;sage;eggs;parmesan cheese;melted butter or margarine;nan;nan;nan;nan;nan","['zucchini', ';', 'hamburger', 'or', 'sausage', ';', 'onion', ',', 'chopped', ';', 'croutons', ';', 'boullion', 'cube', ';', 'salt', ';', 'pepper', ';', 'garlic', ';', 'thyme', ';', 'oregano', ';', 'sage', ';', 'eggs', ';', 'parmesan', 'cheese', ';', 'melted', 'butter', 'or', 'margarine', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Summer Squash,"Boil squash until tender. Mash with butter, salt, pepper, worcestershire sauce, 2 eggs, cracker crumbs, onion and parmesan cheese. Put in casserole, top with paprika and bacon bits. Bake about 30 minutes.",nan,nan,summer squash,nan,nan,butter salt,nan,nan,pepper,nan,nan,worcestershire sauce,2,nan,eggs,nan,nan,cracker crumbs,1,small,"onion, grated", 1/2,cup,parmesan cheese,nan,nan,paprika,nan,nan,"bacon bits, crisply fried",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"summer squash;butter salt;pepper;worcestershire sauce;eggs;cracker crumbs;onion, grated;parmesan cheese;paprika;bacon bits, crisply fried;nan;nan;nan;nan;nan;nan;nan;nan;nan","['summer', 'squash', ';', 'butter', 'salt', ';', 'pepper', ';', 'worcestershire', 'sauce', ';', 'eggs', ';', 'cracker', 'crumbs', ';', 'onion', ',', 'grated', ';', 'parmesan', 'cheese', ';', 'paprika', ';', 'bacon', 'bits', ',', 'crisply', 'fried', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Sweet and Sour Red Cabbage,"Heat oil in skillet. add cabbage and apple. Combine rest of ingredients, pour over cabbage, Cover tightly. Cook over low heat, sit occasionally for 15-20 minutes, until tender.",3,tbsp,oil,6,cups,"red cabbage, shredded",3,cups,"unparred apple, cubed", 1/3,cup,brown sugar, 1/2,cup,vinegar, 1/3,cup,water,nan,nan,pepper, 3/4,tsp,caraway seed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"oil;red cabbage, shredded;unparred apple, cubed;brown sugar;vinegar;water;pepper;caraway seed;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['oil', ';', 'red', 'cabbage', ',', 'shredded', ';', 'unparred', 'apple', ',', 'cubed', ';', 'brown', 'sugar', ';', 'vinegar', ';', 'water', ';', 'pepper', ';', 'caraway', 'seed', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
The Spinach,"Thaw the spinach and wring as dry as possible in a kitchen towel. Put the butter and bacon into a large frying pan and saute until some of the fat is rendered. Add the onions and cook until pale golden. The bacon should not be crisp. Stir in the flour and milk cooking until thickened. Add nutmeg, rosemary, and beef stock base and blend well. Add the spinach and cook over medium heat for 5 minutes or so. Season to taste.",45,ounces,"frozen spinach, chopped",2,tbsp,butter,10,slices,"bacon, cut into 1/2 inch dice",2,large,"onions, chopped",2,tbsp,flour,1,cup,milk, 1/4,tsp,nutmeg,1,tsp,beef stock base or a boullion cube,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"frozen spinach, chopped;butter;bacon, cut into 1/2 inch dice;onions, chopped;flour;milk;nutmeg;beef stock base or a boullion cube;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['frozen', 'spinach', ',', 'chopped', ';', 'butter', ';', 'bacon', ',', 'cut', 'into', '1/2', 'inch', 'dice', ';', 'onions', ',', 'chopped', ';', 'flour', ';', 'milk', ';', 'nutmeg', ';', 'beef', 'stock', 'base', 'or', 'a', 'boullion', 'cube', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['milk', 'flour']"
Three Cheese Spinach,"Combine onions and mushrooms in small microwave-safe bowl. Microwave 1 to 3 minutes or until onions are soft. Place spinach in 1 1/2 quart microwave-safe casserole. Cover and microwave 6 to 9 minutes, breaking up and rearranging every 3 minutes, until defrosted. Drain well.Add onion mixture to spinach, along with cottage cheese, parmesan cheese, eggs, salt and pepper. Stir well to blend. Microwave, uncovered, 8 to 11 minutes, rotating dish if necessary every 3 minutes, until misture is headted through and set.Sprinkle grated cheese over top and dust lightly with paprika. Microwave about 1 minute longer to melt cheese. Let stand 3 minutes before serving.Yields 6 to 8 servings.", 1/2,medium,"onion, chopped",1,4 ounce can,"mushroom stems and pieces, drained",2,10 ounce package,frozen chopped spinach,2,cups,low fat cottage cheese, 1/3,cup,grated parmesan cheese,2,nan,"eggs, lightly beaten",nan,salt,nan,nan,pepper,nan, 1/3,cup,grated swiss cheese,nan,paprika,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"onion, chopped;mushroom stems and pieces, drained;frozen chopped spinach;low fat cottage cheese;grated parmesan cheese;eggs, lightly beaten;nan;nan;grated swiss cheese;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['onion', ',', 'chopped', ';', 'mushroom', 'stems', 'and', 'pieces', ',', 'drained', ';', 'frozen', 'chopped', 'spinach', ';', 'low', 'fat', 'cottage', 'cheese', ';', 'grated', 'parmesan', 'cheese', ';', 'eggs', ',', 'lightly', 'beaten', ';', 'nan', ';', 'nan', ';', 'grated', 'swiss', 'cheese', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Tulelake Potato Casserole,"Thaw potatoes. Mix first 8 ingredients. Put in 9"" x 13"" casserole dish. Top with cornflakes and melted butter mixture. Bake at 350 degrees for 50 minutes. Can be prepared ahead and frozen.",2,packages,"frozen hashbrown potatoes, thawed", 1/4,cup,"butter, melted",1,teaspoon,salt, 1/2,teaspoon,pepper,3,tablespoons,dried onions or 1/2 cup fresh,1,can,cream of chcken soup,2,cups,"cheddar cheese, grated",1 1/2,cups,sour cream, 1/4,cup,melted butter,2,cups,"cornflakes, crushed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"frozen hashbrown potatoes, thawed;butter, melted;salt;pepper;dried onions or 1/2 cup fresh;cream of chcken soup;cheddar cheese, grated;sour cream;melted butter;cornflakes, crushed;nan;nan;nan;nan;nan;nan;nan;nan;nan","['frozen', 'hashbrown', 'potatoes', ',', 'thawed', ';', 'butter', ',', 'melted', ';', 'salt', ';', 'pepper', ';', 'dried', 'onions', 'or', '1/2', 'cup', 'fresh', ';', 'cream', 'of', 'chcken', 'soup', ';', 'cheddar', 'cheese', ',', 'grated', ';', 'sour', 'cream', ';', 'melted', 'butter', ';', 'cornflakes', ',', 'crushed', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Zucchini Patties,"Courslet shred zucchini into a bowl. Press out water. Add rest of ingredients, except oil. Heat oil in skillet. Drop mixture by spoonfuls. Brown on both sides. May also be topped with spaghetti sauce.",5,medium,zucchini,3,nan,eggs,1,tablesoon,parmesan cheese,1,clove,garlic,2,tablespoons,flour, 1/2,cup,parsley, 1/2,cup,onion,1,teaspoon,salt, 1/2,teaspoon,pepper, 1/2,cup,olive oil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,zucchini;eggs;parmesan cheese;garlic;flour;parsley;onion;salt;pepper;olive oil;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['zucchini', ';', 'eggs', ';', 'parmesan', 'cheese', ';', 'garlic', ';', 'flour', ';', 'parsley', ';', 'onion', ';', 'salt', ';', 'pepper', ';', 'olive', 'oil', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['flour', 'eggs']"
Apple Dumplings,"Make syrup from first 5 ingredients. Make crust - roll 1/4 inch thick. CUt in 5 inch squares. Put 4 pieces of apple on each. Sprinkle with additional sugar, cinnamon, and nutmeg. Dot with butter. Fold corners to center; pinch together. Place 1 inch apart in greased baking dish. Pour syrup on top. Bake 375 degrees for 35 minutes. Serve warm with cream. Makes 6.",2,cups,sugar,2,cups,water, 1/4,teaspoon,cinnamon, 1/2,teaspoon,nutmeg, 1/2,cup,"butter, melted",6,nan,"apples, peeled, cut in 1/4",2,cups,flour,1,teaspoon,salt,2,teaspoons,baking powder, 3/4,cup,shortening, 1/2,cup,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"sugar;water;cinnamon;nutmeg;butter, melted;apples, peeled, cut in 1/4;flour;salt;baking powder;shortening;milk;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'water', ';', 'cinnamon', ';', 'nutmeg', ';', 'butter', ',', 'melted', ';', 'apples', ',', 'peeled', ',', 'cut', 'in', '1/4', ';', 'flour', ';', 'salt', ';', 'baking', 'powder', ';', 'shortening', ';', 'milk', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'flour', 'apples']"
Apple Dessert for a Crowd,"Combine flour, sugar, salt and shortening. Add egg/milk mixture to flour mixture using beater. Put 1/2 of mixture into a jelly roll pan. Reserve other 1/2 for the op. Sprinkle onto dough in pan; cornflakes, apples, sugar, and cinnamon. Cover with the other 1/2 of dough. Beat egg white until stiff, spread over crust.Bake at 400 degrees for about 40 minutes.Glaze with powdered sugar and hot water glaze while still warm. Would also be good in a smaller pan for a coffee cake strudel breakfast roll.",2 1/2,cups,flour,1,tablespoon,sugar,1,nan,salt,1,cup,shortening,1,nan,"egg yolk, plus enough milk to make 1/2 cup",1,cup,"cornflakes, crushed",1,cup,"cornflakes, crushed",5,cups,"tart apples, sliced",1 1/2,cups,sugar,1,teaspoon,cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"flour;sugar;salt;shortening;egg yolk, plus enough milk to make 1/2 cup;cornflakes, crushed;cornflakes, crushed;tart apples, sliced;sugar;cinnamon;nan;nan;nan;nan;nan;nan;nan;nan;nan","['flour', ';', 'sugar', ';', 'salt', ';', 'shortening', ';', 'egg', 'yolk', ',', 'plus', 'enough', 'milk', 'to', 'make', '1/2', 'cup', ';', 'cornflakes', ',', 'crushed', ';', 'cornflakes', ',', 'crushed', ';', 'tart', 'apples', ',', 'sliced', ';', 'sugar', ';', 'cinnamon', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'flour', 'apples']"
Chilled Prune Whip,"Bring prunes and water to boil, simmer 10 minutes. Cool. Beat egg whites with salt to stiff peaks, In small mixer bowl combine prunes and lemon juice beat until well blended. Fold into egg whites. FOld in nuts. Spoon into dishes. Serves 6 to 8.",1 1/2,cups,whole prunes,1 1/2,cups,water,3,nan,egg whites, 1/2,teaspoon,salt, 1/2,cup,sugar,2,tablespoons,lemon juice, 1/2,cup,"pecans, chopped",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"whole prunes;water;egg whites;salt;sugar;lemon juice;pecans, chopped;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['whole', 'prunes', ';', 'water', ';', 'egg', 'whites', ';', 'salt', ';', 'sugar', ';', 'lemon', 'juice', ';', 'pecans', ',', 'chopped', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Fresh Peach Dessert,"Soak gelatin in cold water. Combine margarine, sugar, and egg yolks. Cook until thick. Add gelatin - pour hot mixture over marshmallows. Blend. Fold in stiff-beaten egg whites and peaches. Alternate in layers with cookie crumbs in dish. Chill to serve.",4,cups,"peaches, sliced", 1/2,cup,small marshmallows, 1/4,cup,cold water,1,cup,powdered sugar,2,cups,"vanilla wafers, crushed",1,package,knox gelatin, 1/3,cup,margarine,2,nan,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"peaches, sliced;small marshmallows;cold water;powdered sugar;vanilla wafers, crushed;knox gelatin;margarine;eggs;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['peaches', ',', 'sliced', ';', 'small', 'marshmallows', ';', 'cold', 'water', ';', 'powdered', 'sugar', ';', 'vanilla', 'wafers', ',', 'crushed', ';', 'knox', 'gelatin', ';', 'margarine', ';', 'eggs', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
South Carolina Cobbler,"Toss peaches with 1 cup sugar and almond flavoring. Set aside.Melt butter in 2 quart baking dish. In a bowl, combine flour, baking powder, salt and 1/2 cup sugar. Stir in milk. Mix well. Pour evenly over butter. Do not stur. Spoon peaches on top.Bake at 350 degrees for 50-55 minutes, until golden brown.Serve with ice cream.",4,cups,"fresh peaches (or frozen, thawed), sliced",1 1/2,cups,"sugar, divided", 1/2,teaspoon,almond flavoring, 1/2,cups,"butter or margarine, melted", 3/4,cups,flour,2,teaspoons,baking powder,nan,pinch,salt, 3/4,cups,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"fresh peaches (or frozen, thawed), sliced;sugar, divided;almond flavoring;butter or margarine, melted;flour;baking powder;salt;milk;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['fresh', 'peaches', '(', 'or', 'frozen', ',', 'thawed', ')', ',', 'sliced', ';', 'sugar', ',', 'divided', ';', 'almond', 'flavoring', ';', 'butter', 'or', 'margarine', ',', 'melted', ';', 'flour', ';', 'baking', 'powder', ';', 'salt', ';', 'milk', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'flour']"
Spanish Cream Pudding,"Separate eggs. Put whites in large bowl. Mix sugar, gelatin and salt in double boiler, add milk. Place over medium heat. Stir well until gelatin dissolves, 3-6 minutes. Beat egg yolks with fork, gradually add milk. Cook in double boiler, but do not let water boil. Cook 10-15 minutes. Add flavoring. Drip at side of egg whites. Fold in gradually.", 1/2,cups,sugar,1,envelope,knox gelatin, 1/8,teaspoon,salt,2 1/2,cups,milk,1,teaspoon,vanilla,3,nan,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,sugar;knox gelatin;salt;milk;vanilla;eggs;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['sugar', ';', 'knox', 'gelatin', ';', 'salt', ';', 'milk', ';', 'vanilla', ';', 'eggs', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'eggs']"
Artichoke-Mozzarella Casserole,"Heat the olive oil in a small frying pand and saute the onion, garlic, parsley and oregano in it until the onions are soften well.Beat the eggs and stir in the sauteed mixture, the artichoke hearts, bread crumbs, cheese, and salt.Add a dash of hot pepper liquid and stir to mix well.Preheat oven to 350 degrees. Turn into a lightly greased 9-inch square baking dish and bake for about 1/2 hour, or until set. Serves 4 to 6.",2,tablespoons,olive oil, 1/2,cup,"green onion, minced",2,cloves,"garlic, pressed",3,tablespoon,"parsley, minced",1,teaspoon,leaf oregano,4,nan,eggs,14,ounce can,"artichoke hearts, drained, finely chopped", 1/4,cup,dry bread crumbs, 1/2,pound,"mozzarella cheese, shredded", 1/2,teaspoon,salt,nan,nan,hot pepper liquid,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"olive oil;green onion, minced;garlic, pressed;parsley, minced;leaf oregano;eggs;artichoke hearts, drained, finely chopped;dry bread crumbs;mozzarella cheese, shredded;salt;hot pepper liquid;nan;nan;nan;nan;nan;nan;nan;nan","['olive', 'oil', ';', 'green', 'onion', ',', 'minced', ';', 'garlic', ',', 'pressed', ';', 'parsley', ',', 'minced', ';', 'leaf', 'oregano', ';', 'eggs', ';', 'artichoke', 'hearts', ',', 'drained', ',', 'finely', 'chopped', ';', 'dry', 'bread', 'crumbs', ';', 'mozzarella', 'cheese', ',', 'shredded', ';', 'salt', ';', 'hot', 'pepper', 'liquid', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Asparagus Tomato Quiche,"Preheat oven to 375 degrees.Beat eggs with next 4 ingredients; stir in cheese. Saving 6 asparagus spears for the top, chop the rest into 1"" lengths; lay on bottom of pie shell, pour in liquid. Bake 20 minutes. Remove and quickly arrange tomato and asparagus on top in a wagon wheel pattern. Bake another 20-30 minutes. Serves 4 to 6.",1,nan,"10 inch pie shell, partially baked",4,large,"eggs, beaten",3,tablespoons,flour,1,teaspoon,paprika,1,teaspoon,salt, 1/2,teaspoon,dry mustard,1 1/2,cups,half and half,2,cups,grated swiss cheese,10,nan,"fresh aparagus spears, washed and trimmed",1,medium,"tomato, sliced into four 1/4"" slices",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"10 inch pie shell, partially baked;eggs, beaten;flour;paprika;salt;dry mustard;half and half;grated swiss cheese;fresh aparagus spears, washed and trimmed;tomato, sliced into four 1/4"" slices;nan;nan;nan;nan;nan;nan;nan;nan;nan","['10', 'inch', 'pie', 'shell', ',', 'partially', 'baked', ';', 'eggs', ',', 'beaten', ';', 'flour', ';', 'paprika', ';', 'salt', ';', 'dry', 'mustard', ';', 'half', 'and', 'half', ';', 'grated', 'swiss', 'cheese', ';', 'fresh', 'aparagus', 'spears', ',', 'washed', 'and', 'trimmed', ';', 'tomato', ',', 'sliced', 'into', 'four', '1/4', ""''"", 'slices', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['eggs', 'flour']"
Beef Enchiladas,"Saute beef with garlic, salt, vinegar, water, and chili powder. Stir in beans. Set aside.In hot oil in skillet saute garlic and onion until golden.Remove from heat, stir in flour, tomato sauce, vinegar, and hot bouillon. Bring to boil. Add chili powder, salt and pepper. Simmer 5 min.Preheat oven to 350 degrees. Place 1/3 cup filling in center of each tortilla which has been dipped in hot oil or sauce. Roll up, arrange seam down in baking dish. Pour sauce over all. Sprinkle with cheese.Bake about 25 minutes.",1,pound,beef,1,clove,"garlic, chopped",2,teaspoons,salt,1,tablespoons,vinegar,1,tablespoon,water,1,tablespoon,chili powder,1,tablespoon,red kidney beans,10,nan,tortillas,3,tablespoons,salad oil,1,clove,"garlic, chopped", 1/4,cup,"onion, chopped",2,tablespoons,flour,2,cans,tomato sauce,1,tablespoon,vinegar,1,cube,beef bouillon,1,cup,boiling water,2,teaspoon,chili powder, 1/2,teaspoon,salt,nan,nan,pepper,asian food,"beef;garlic, chopped;salt;vinegar;water;chili powder;red kidney beans;tortillas;salad oil;garlic, chopped;onion, chopped;flour;tomato sauce;vinegar;beef bouillon;boiling water;chili powder;salt;pepper","['beef', ';', 'garlic', ',', 'chopped', ';', 'salt', ';', 'vinegar', ';', 'water', ';', 'chili', 'powder', ';', 'red', 'kidney', 'beans', ';', 'tortillas', ';', 'salad', 'oil', ';', 'garlic', ',', 'chopped', ';', 'onion', ',', 'chopped', ';', 'flour', ';', 'tomato', 'sauce', ';', 'vinegar', ';', 'beef', 'bouillon', ';', 'boiling', 'water', ';', 'chili', 'powder', ';', 'salt', ';', 'pepper']",['flour']
Beef Spinach Quiche,"Melt butter, add onion. Cook until soft. Add meat, cook and drain. Squeeze spinach to remove liquid. In a bowl, mix beef, onion, spinach, and seasonings. Beat eggs with cream. Stir into meat. Pour into shell. Top with cheese. Bake for 30 minutes at 375 degrees. Let set 10 minutes before eating.",1,nan,10 inch  baked pie shell,3,tablespoons,butter,1,cup,"onion, diced",1,pound,hamburger,2,large,eggs,1,cup,heavy cream,1,can,"spinach, drained", 3/4,teaspoon,salt, 1/4,teaspoon,pepper, 1/8,teaspoon,nutmeg, 1/2,cup,cheese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"10 inch  baked pie shell;butter;onion, diced;hamburger;eggs;heavy cream;spinach, drained;salt;pepper;nutmeg;cheese;nan;nan;nan;nan;nan;nan;nan;nan","['10', 'inch', 'baked', 'pie', 'shell', ';', 'butter', ';', 'onion', ',', 'diced', ';', 'hamburger', ';', 'eggs', ';', 'heavy', 'cream', ';', 'spinach', ',', 'drained', ';', 'salt', ';', 'pepper', ';', 'nutmeg', ';', 'cheese', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Broccoli and Rice Casserole,"Cook rice and put in buttered casserole. Boil broccoli according to instructions on the package. Brown onions and celery in butter, add cooked broccoli and soup together. Pour over rice, top with cheese. Can use grated cheddar if you choose. Dot with butter. Put in oven until heated about 10 to 15 minutes at 350 degrees.Can be made ahead of time and frozen. hen frozen, allow to thaw completely then heat about 10 minutes longer.",2,cups,"minute rice, uncooked",1,package,"frozen broccoli, chopped",1,medium,onion, 1/2,cup,"celery, chopped",1,cup,mushroom soup,1,pound,Cheeze Whiz, 1/2,stick,butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"minute rice, uncooked;frozen broccoli, chopped;onion;celery, chopped;mushroom soup;Cheeze Whiz;butter;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['minute', 'rice', ',', 'uncooked', ';', 'frozen', 'broccoli', ',', 'chopped', ';', 'onion', ';', 'celery', ',', 'chopped', ';', 'mushroom', 'soup', ';', 'Cheeze', 'Whiz', ';', 'butter', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Broccoli Cheese Pie,"Cut florets from broccoli in thin slices; peel tender stems and cut coarsely. Cook 5 minutes to tender. Combine eggs, milk, salt, pepper, pepper sauce, nutmeg, parsley and swiss cheese. Stir in broccoli. Turn into buttered 10 inch pie pan. Sprinkle with parmesan. Bake in 350 degree oven for 30-35 minutes. Cool 10 minutes. Serve with sliced tomatoes and hot biscuits.",1 1/2,pounds,fresh broccoli, 2/3,cup,"onion, minced",1 1/4,cups,milk, 1/8,teaspoon,nutmeg, 1/3,cup,parmesan cheese,few,drops,pepper sauce,4,nan,"eggs, slightly beaten",1,teaspoon,salt,nan,nan,pepper,1,tablespoon,parsley, 2/3,cup,swiss cheese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"fresh broccoli;onion, minced;milk;nutmeg;parmesan cheese;pepper sauce;eggs, slightly beaten;salt;pepper;parsley;swiss cheese;nan;nan;nan;nan;nan;nan;nan;nan","['fresh', 'broccoli', ';', 'onion', ',', 'minced', ';', 'milk', ';', 'nutmeg', ';', 'parmesan', 'cheese', ';', 'pepper', 'sauce', ';', 'eggs', ',', 'slightly', 'beaten', ';', 'salt', ';', 'pepper', ';', 'parsley', ';', 'swiss', 'cheese', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['milk', 'eggs']"
